animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,class_name,can_fly,can_swim,is_domestic_pet
24,flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,Bug,0,0,0
25,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,Amphibian,0,0,0
26,frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,Amphibian,0,0,0
27,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,Mammal,0,0,0
28,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
29,girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,Mammal,0,0,1
30,gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug,0,0,0
31,goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal,0,0,1
32,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,Mammal,0,0,0
33,gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird,1,0,0
34,haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish,0,1,0
35,hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,Mammal,0,0,0
36,hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,Mammal,0,0,0
37,hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird,1,0,0
38,herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,0,1,0
39,honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,Bug,0,0,0
40,housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug,0,0,0
41,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,Bird,0,0,0
42,ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,Bug,0,0,0
43,lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,1,0,0
44,leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
45,lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
46,lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,Invertebrate,0,0,0
47,lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
48,mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
49,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,Mammal,0,0,0
50,mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
51,moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug,0,0,0
52,newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,Amphibian,0,0,0
53,octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,Invertebrate,0,0,0
54,opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,Mammal,0,0,0
55,oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
56,ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,Bird,0,0,0
57,parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird,1,0,0
58,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,Bird,0,0,0
59,pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,1,0,0
60,pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish,0,1,0
61,piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,0,1,0
62,pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,Reptile,0,0,0
63,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
64,polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
65,pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal,0,0,1
66,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal,0,1,0
67,puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
68,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,Mammal,0,0,1
69,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
70,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal,0,0,1
71,rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,Bird,0,0,0
72,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,Invertebrate,0,0,0
73,seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish,0,1,0
74,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,Mammal,0,1,0
75,sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,Mammal,0,1,0
76,seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,Reptile,0,0,0
77,seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,Invertebrate,0,0,0
78,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird,1,0,0
79,skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird,1,0,0
80,slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,Reptile,0,0,0
81,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Invertebrate,0,0,0
82,sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish,0,1,0
83,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,1,0,0
84,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,Mammal,0,0,0
85,starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,Invertebrate,0,0,0
86,stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,Fish,0,1,0
87,swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,Bird,1,0,0
88,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,Bug,0,0,0
89,toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,Amphibian,0,0,0
90,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,Reptile,0,0,0
91,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,Reptile,0,0,0
92,tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish,0,1,0
93,vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,Mammal,0,0,0
94,vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,Mammal,0,0,0
95,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,Bird,1,0,0
96,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,Mammal,0,0,0
97,wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,Bug,0,0,0
98,wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
99,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Invertebrate,0,0,0
100,wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,1,0,0
101,kangaroo,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,Mammal,0,0,0
102,cobra,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,Reptile,0,0,0
103,jellyfish,0,0,1,0,0,1,1,0,0,0,1,0,4,0,0,0,7,Invertebrate,0,0,0
104,shark,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish,0,1,0
105,tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
106,zebra,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
107,falcon,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird,1,0,0
108,owl,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird,1,0,0
109,butterfly,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug,0,0,0
110,dragonfly,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,Bug,0,0,0
111,whale,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal,0,1,0
112,rhino,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
113,hippo,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,Mammal,0,0,0
114,alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3,Reptile,0,0,0
115,crocodile,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3,Reptile,0,0,0
116,turtle,0,0,1,0,0,1,0,0,1,1,0,0,4,1,0,0,3,Reptile,0,0,0
117,lizard,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,Reptile,0,0,0
118,snake,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,Reptile,0,0,0
